query_id,access_date,surface,query_or_lookup,snippets_screened,pages_opened,included_records,decision,notes
S08,2026-08-29,Web search,"site:fhenix.io ""threshold decryption"" ""whitepaper""",1,0,0,background,"No additional stronger public source used beyond the opened Fhenix page."
S09,2026-08-29,Web search,"site:fhenix.io ""FHE Rollups"" threshold decryption network",1,1,1,include,"Same opened Fhenix rollups source."
S10,2026-08-29,Web search,"site:fhenix.io ""threshold network"" decryption requests",1,0,0,background,"Contextual, but not a stronger closure source than the opened rollups page."
S11,2026-08-29,Known-item recovery,"https://eips.ethereum.org/EIPS/eip-7594",0,1,1,include,"Official standard page opened directly for public DAS overlap."
S12,2026-08-29,Known-item recovery,"https://www.usenix.org/conference/usenixsecurity23/presentation/yurek",0,1,1,include,"Known-item recovery for DPSS under churn/faults."
C01,2026-08-29,OpenAlex DOI lookup,"https://api.openalex.org/works?filter=doi:10.1109/access.2026.3725080",0,1,1,include,"Recovered 2026 UQ-Vote metadata; cited_by_count was early and low, so chain importance comes mainly from references and topic overlap."
C02,2026-08-29,OpenAlex DOI lookup,"https://api.openalex.org/works?filter=doi:10.1007/978-981-95-5119-4_16",0,1,1,include,"Recovered Context-Dependent Threshold Decryption metadata with nonzero reference and citation counts."
C03,2026-08-29,OpenAlex DOI lookup,"https://api.openalex.org/works?filter=doi:10.1145/3719027.3765032",0,1,1,include,"Recovered Accountable Liveness metadata; forward counts still immature."
C04,2026-08-29,OpenAlex DOI lookup,"https://api.openalex.org/works?filter=doi:10.1007/11605805_15",0,1,1,include,"Recovered classic threshold-encryption root with high citation count."
C05,2026-08-29,Crossref raw snapshot,"../primary-search/raw/crossref_uq_vote.json",0,1,1,include,"Backward chain confirmed references including Wallet Databases with Observers and election/public-audit lineage."
C06,2026-08-29,Crossref raw snapshot,"../primary-search/raw/crossref_accountable_liveness.json",0,1,1,include,"Backward chain confirmed accountability/liveness lineage including availability-accountability work."
C07,2026-08-29,Crossref raw snapshot,"../primary-search/raw/crossref_mempool_privacy_2025.json",0,1,1,include,"Backward chain confirmed Ferveo, Shutter, vetKeys, and practical encrypted-mempool links."
Z01,2026-08-29,Interpretation,"bounded public closure pass",0,0,0,limit,"No query in this log should be read as exhaustive patent or standards closure; zero-hit rows are explicitly non-proof rows."
